"Artikul","price","balance"
"909-12172-150",89.21600000000001,100
"3680-230-30-24",336.036,100
"3680-250-30-24",400.242,100
"4-29625-093-5.9",28.913199999999996,100
"4-29625-101-6.2",72.1436,100
"4-29625-101-6.6",83.5416,100
"4-29625-125-9",144.5578,100
"4-29625-142-11",241.52280000000002,100
"4-29625-H10",772.2514,100
OL-MQR-15x60,779.4592,100
"12115-38",100.45,100
"51830-12",76.998,100
"51867-2",380.07,100
"12075-50-10",90.74940000000001,100
"12092-50-10",70.438,100
"12094-50-10",70.438,100
"22065",1963,100
"08012",126,100
"0801-06",163.262,100
"1820-12",121.278,100
"1245-050-10",127.51,100
"3650-180-06",70.356,100
"0876",200,100
"3580-125-120",70.848,100
"2320",396.42080000000004,100
"2670-60",33.4806,100
"50203",56,100
"23185-29",434.8706,100
"0673-60",417,100
"08230",165.7302,100
"51052-1",327.9918,100
"302184-12-100",900,100
"305376-20-45",23.862000000000002,100
"29320-160-06_z01",117,100
"27087-06",36,100
"27087-10",45,100
"3120-32-08",24.272000000000002,100
"3120-40-10",32.308,100
"27087-22",150,100
"1541-2,5",64,100
"0945",233,100
"27011-H6",344,100
"0214-24",92.824,100
"2950-10",47.478,100
"2960-085-055",30.241600000000002,100
"31711-R353E",1182.9237999999998,0
"2756-H2",495,100
"1595-M-S5",240.752,100
"41144",209.9,100
"310256-080-1200",151.37199999999999,0
НПГ-Т3-550,2755,100
"50204",81,100
"0635-30",103.7136,0
"43220-100",431,100
"4318",206,100
"2778-1/4",143.05720000000002,100
"3785-15",51.578,100
"2915-150-10",81.1472,100
"1820-H3",343,100
"429000-1-25",1286,100
"3560-1_z01",36.818,100
"27339-1_z01",389,100
"30645-08-080",136,100
"12610-450",182.778,100
"3544-00",122,100
"3544-05",122,100
"3544-08",122,100
"3544-40",143,100
"2916-120-10",76.4322,100
"1820-08",118.49,100
"4214-53/247",1207,100
"4216-53/318C",917,0
"4220-53618 Ф",49,100
"4228-53750",507,0
"4250-55218C",36,100
"4255-55/383C",138,100
"32301-2",2004,0
"28770-50-H2",2643.8439999999996,100
"426374",13,100
"09182",204,100
"2915-H4",183.7784,100
"51005-G/G-080",133.69279999999998,100
"51005-G/S-060",121.483,100
"51051-3/4",164,100
"51055-1/2",142.13060000000002,100
"51055-3/4",185.8612,100
"51061-3/4-1/2-3/4",131.2082,100
"51071-G/G-1/2",98.3918,100
"34660",5198,100
"421859",979,100
"35143-115",156.948,100
OL-180-BLACK,152.32319999999999,100
OL-KB,197.21,100
OL-OL,497.494,100
"36650-230",773.5716,0
"51005-G/G-100",150.40439999999998,100
"51210-3/4",542.0282,100
"51055-1",492,100
"51073-G/S-3/4",158.5388,100
"22170-4",209.55100000000002,100
OL-RB45-1,210.28079999999997,100
OL-S,111.7168,100
"38800-10",1879,100
"27033-H12_z01",1614,0
"5001345",7371,0
"51054-1/2",120.26939999999999,100
"51073-G/G-1/2",98.3918,100
"32602-80",2238,0
"2915-110-07",44.0586,100
"3544-20",133,100
OL-300,283.4002,100
OL-AB-10B,165.25459999999998,100
"29015",242.99059999999997,0
"29480-130-29",266.1064,100
"29480-140-42",457.92080000000004,100
"29580-H7-18",276.914,100
"5000791",26158,0
"10540310",2861,0
"24359800",1639,100
"5001359",639,0
"4255-55/418C",250,100
"26221-2-25-1000",327,100
OL-SAB-10B,300.9646,100
SV-55245-1,8,100
"11110",67.4204,0
"4202-53/110-H10",5223,100
"4208-53/137C",345,100
"4210-53/205",1266,100
"4218-53/371",2286,100
"4218-53381F",519,100
"29180-35",278.062,100
"29211-50",381,100
"35920",69.29,100
"35926",58.302,100
"29915-H3",66.666,100
"16021-2-H10",294.1996,100
"3380-2,5",21.812,100
"29314-800-14_z01",495.116,100
"29314-300-20_z01",358.83200000000005,100
"55300-40",468.12979999999993,100
"55300-80",520,100
"55330-100",281.1698,0
"55318",182,100
"2-06821-Y-S06",68.33059999999999,100
"2-31531",572.032,0
SV-58054,287.3526,100
"55461",168.55920000000003,0
"55464",287.2706,100
"55468",164,100
"55300-100",577.1898,100
"55305-80",442.07020000000006,100
"55330-80",245.63920000000002,100
"55313-60-H6",698.5169999999999,100
"55315-70-H4",741.7883999999999,100
"29660-4-30-14",722.4692,100
ЭП-250-1200С,20623,100
"300016-35-055",22.057999999999996,100
"300016-42-070",27.798,100
"0141-35",32,100
"300016-48-095",22.877999999999997,100
"300035-35-019",514,100
"300035-35-041",332,100
"1002-50",41.492,100
"0104-075",137.2106,100
"300035-42-070",298,100
"0393-1",45.4608,100
"300011-35-055",86,100
"3503-4",33.4396,100
"0141-50",60.589800000000004,100
"1245-100-10",236.078,100
ЗМД-2Т-М,141,100
"2072-12",377,100
"3060-30-50",13.038,100
"3612-200-2,5",31,100
"3613-230-2,5",49.855999999999995,100
"3632-115-2,5",20.992000000000004,100
"3632-125-2,5",23.452,100
"3632-150-2,5",28.864,100
"300032-35-041",281,100
"0124-02",13,100
"300031-35-051",119,100
"300031-35-055",111,100
"300031-39-064",113,100
"2701-09-11",19.27,100
